ben_afflek,"[-0.35715967, 0.56805825, -0.022462085, -1.5599493, -0.22274993, 0.31206363, 2.2126389, -1.0551347, 0.113497145, -0.97813, 1.1421908, -0.6536971, 0.15160137, -0.74272907, 1.1953169, -0.62218195, -2.5768816, 0.4588946, -0.21730083, -0.24980476, 1.5028306, -0.035118107, 0.058812127, -0.9723351, 0.06294286, -0.41399258, 0.96276104, -1.5717623, -0.7984349, 1.2099433, 0.14957878, 0.99214303, 1.8099713, 0.29607832, -0.6879203, 0.42563197, -1.5447482, -0.4632311, -0.62419754, -0.8786627, 1.4744818, -0.7568308, -1.5859734, -0.73545605, -0.45129827, -0.23810981, 0.21692064, -0.8924271, -0.43760607, -0.24870864, -0.6028922, -1.3944112, 1.206109, -0.9149063, 0.512636, -0.8122218, -1.5299289, 1.0629773, 0.93077, -2.1749358, -0.87885475, -0.7761552, -1.471464, -1.3767503, 0.9563707, -2.4899604, -0.2860678, -0.7537708, 0.11845914, -0.45969534, -0.26307565, -0.4807784, -0.3989519, -1.0307485, -2.9253402, -0.28871417, 0.1633484, 0.062096845, -0.30971226, 0.012622982, 0.3648509, -0.43470976, -0.5330281, -0.07380823, 2.2288387, 0.52851623, 1.0155048, 1.2591052, 0.35317332, 0.1731722, 0.43339556, 0.85642767, 0.07647088, 1.0424103, -0.94261456, 0.004612281, -0.50700486, -0.831245, 1.2831879, -0.013758147, -0.9308527, -0.53006434, 1.9985607, -0.7121456, -1.1726387, 0.27227682, 1.2593555, 1.6576382, 0.40905184, 0.54839635, -0.6665309, -0.6854003, -1.0075613, 0.62697226, 0.6778502, 0.9783262, 1.5249969, -0.59676796, 0.5873409, 1.3809149, -0.121690646, 2.4254167, -0.44128978, 0.64210874, -0.12100658, 0.3680795, -1.2914201, 0.97822034]"
austin,"[-0.8426163, -1.2141074, -0.29109362, -0.1521, 0.3616744, 0.43772915, -1.3501645, -0.951725, -0.4263116, 0.5517018, -0.9475533, -0.11955333, -0.89559734, -1.4578992, 1.8195759, 0.057074912, 0.6799532, -0.62048274, -0.14357151, -0.65072256, -0.59090734, -0.19619091, -0.5793524, -0.5533843, 1.3481907, -0.34486914, 1.1107622, 1.5646186, 0.4683026, 1.2732755, 1.9443157, -0.5521981, 0.9487888, -2.584343, 0.42026398, -0.6948912, -0.046616014, -0.31662405, 0.7903389, 0.7824861, -1.6153502, -0.32149348, -0.06809391, -0.9786474, 1.1881336, -0.27183452, -0.9856438, 0.07622325, 0.18430012, 0.55390716, -0.32618797, -0.11754158, 1.8695476, 0.07050746, -0.8577782, -0.0028934162, -0.03629551, -0.4832191, 0.45488003, 0.38392472, 1.1247057, -1.2946825, 0.07040769, 1.1099147, -0.1574862, -0.50753736, 1.0930136, -0.1400024, -0.6565117, -0.5920803, -0.45558944, -0.94784105, 0.17427924, -1.3979623, 1.1542549, 0.59048986, 1.8385508, 1.9202758, -0.6323342, 1.2204701, -1.9453584, 1.400026, -0.88416564, 0.7301644, 0.11614011, -1.4496976, -0.0102565065, -2.1649656, -1.8831093, -0.21659991, 0.39094684, -0.854653, -1.6290412, -0.2737182, -0.5226436, -0.48916683, -2.3864315, 0.62374026, -0.648769, -0.43169576, 0.61807793, 0.71807724, 2.2106214, -0.36611474, -0.1737482, 0.22500251, -1.9253986, -0.34135848, 0.6042143, -0.62873, -0.49837595, -0.04584758, -0.5424738, 0.07425677, 1.0901691, 0.8599323, 0.105653346, 1.0523934, -1.8131818, 1.9290992, 2.1852443, -1.9631643, 0.75808394, 0.67653567, 0.3528679, -1.2798514, 0.04387345, 0.9159692]"
madonna,"[0.8384701, 0.7484422, 0.018247321, -0.5520263, 1.1847552, -0.61748594, -0.35001612, 1.5464575, 0.29339603, 0.2286112, -1.2742091, 0.62534004, 1.4212137, 1.3032491, 0.0492869, -0.060703292, -0.90180266, -0.18129683, 1.6369168, -1.2818035, 0.12717243, 0.5379206, 0.38959283, 0.113469034, -1.1037503, 0.8350188, -1.5055887, 0.51803374, 1.1946621, -0.3626505, -0.5648153, -1.6867721, -0.2845592, -0.40414414, 0.46009922, -0.39810318, -0.038674004, 0.49898317, -0.056610644, -1.0819021, -0.13806367, 1.779349, 1.1267349, 0.61177737, -1.909821, 2.2323568, -0.07097694, -0.37675905, -0.8881183, 1.1755157, -0.82866794, 2.2103388, -1.9072956, 0.1975857, 0.7050319, 1.2224245, 0.43332484, 1.0840648, 0.28988707, 0.4508898, 0.09534282, 0.788262, 1.0177208, 2.177506, -0.22600532, 0.6243374, -2.57644, 0.24330279, 0.78537166, 0.6201308, 0.7347862, 0.9765663, -0.87024117, -0.027723663, 0.047201335, 0.4507079, -1.392224, -0.24079768, -0.34399045, -0.85582125, -0.3916227, -0.13201664, 2.4339573, -0.086697616, -0.0038295016, -1.8655719, 0.12711126, 0.9488237, -0.7124051, -1.8498194, -0.25380394, -0.08523403, 0.5414199, -0.37971932, 0.9348071, -0.17689745, -0.23791476, -0.64803505, 0.407866, -1.1707311, -1.1117157, 1.735192, -0.2981379, 1.0749928, 0.14591736, -0.33514953, 0.974897, 0.49579623, 0.046727873, -0.5919442, 1.4978249, -1.390477, -0.6871418, 2.0660617, 0.040391494, 0.7396879, 2.3063111, 1.1082513, 0.7925563, -1.4337, 0.64926463, 2.2293792, 0.45792568, -0.9873295, -0.89515185, -1.6043835, -0.6927425, -0.9263999]"
weiwei,"[0.9166124, -0.7183379, -1.1142535, 0.4103817, 0.04791354, 0.33414572, 0.06913005, -0.9454103, 0.6732963, -0.54058105, -0.37957436, 0.2529035, -0.5977967, -1.629634, -0.69125414, 0.25194782, 1.3076009, -0.07131261, 0.47362277, 0.18714595, 0.036265373, 0.3011374, -1.5019624, -0.050574377, -0.6926195, 0.5134984, -0.3963031, 0.18748043, 0.76300293, 0.58366805, 1.5699021, 0.39015716, -0.11003147, -1.0803124, 0.039582193, -0.6273393, -1.2139972, 1.0331042, 1.4610193, 0.59458303, -0.9425299, 0.6943197, 0.38692817, -1.0542942, -0.19055487, 0.6617524, 0.026629161, 0.6261723, -1.2490318, 1.3731339, 0.052158047, 0.028401071, 0.43619025, -0.024439592, 0.99383837, 0.926694, -0.64194775, -0.3234301, 0.34117562, -0.43271524, -0.7456458, -0.9495161, 0.3089598, 0.8804789, 0.38081282, 1.4106231, 0.29662752, 0.42584044, -0.2118248, -0.5561857, 0.4384206, -1.506215, 0.5439786, -0.66313463, 0.18066959, 1.0197333, -0.64799416, 0.48058644, -1.0529507, -0.3098607, -0.418164, -0.6824143, -0.44464764, 0.49105003, 0.86364645, -0.9470246, -0.078122824, -0.6253637, -0.9773035, 0.32957673, 1.1533681, -0.3399264, -0.33777913, -0.47190216, -0.34858558, -0.022709366, -0.4034901, 0.22709948, -1.3091621, -0.8375762, -0.45461273, 0.7606936, 1.3816634, -0.37962306, -0.7262234, -0.49902052, 0.18461496, 0.514703, -0.21444952, -0.9619943, 1.0159545, 0.61461496, -0.1327187, 0.16011105, 0.0700204, 0.12938908, -0.87680495, 1.5766692, -0.06954048, -0.24506524, 0.47219467, 0.026445746, 1.3306057, -0.08262579, 0.11898813, -1.342677, -0.8877095, -0.50112283]"
thty,"[0.34002995, -0.46324795, 0.49508724, -0.38404033, -0.745871, 0.3906918, -0.05249981, -0.6302128, -0.36603642, 0.19432643, -0.31901392, -0.2674621, 0.15816858, -0.55739355, 0.3980352, 0.24040736, 0.5916319, 0.45477045, 0.07913507, -0.969769, -0.15311068, 0.055942215, -0.21233138, 0.610226, 0.54678464, 0.36078236, 0.7245033, 0.9564277, 0.0894922, 0.09747419, 0.3308472, 0.75932246, -0.015135376, 0.2519703, 0.8333852, -0.7692142, -0.8005271, 0.31545725, 1.4379733, 0.09389429, -0.45928463, -0.064887755, 0.4178868, -1.2368292, 0.78883666, 0.13060321, 0.48822877, -0.6612263, 0.22284134, -0.45777938, -0.38030446, 0.40553978, 1.0154893, -0.42237166, 0.6524646, 1.2647272, -0.1003495, -0.24916425, 0.45748892, -0.44460016, 0.40505376, 0.026646718, 0.050753478, 0.9310535, 0.48732167, 0.31323755, 0.78549844, 0.3008727, -0.4053245, 0.35811323, 0.04686064, 0.19122067, 0.7710549, -0.98223484, -0.24464503, -0.35541818, -0.6951177, -0.047846023, -0.29129082, -0.5115901, 0.29859027, -0.67721534, -0.2937323, 1.0954366, 0.8191792, -0.6413174, 0.74285144, -1.2929142, -1.1565197, -0.62076354, 0.2007859, 0.37365377, -1.0698652, -0.35572842, 0.9488414, -0.3227471, -0.2528375, 0.008740744, -0.1984662, -0.32747656, 0.01863052, 0.9339542, 0.15546131, -0.09236786, -0.1326676, 1.1645517, -1.3768921, -0.3355265, -0.85257393, -0.6329255, 0.085143514, 0.7718111, -0.32628286, 0.042222302, 0.019642875, 0.9207648, -0.6889986, 0.73369884, -0.38036698, 0.52417, 0.33031702, -0.06758205, 1.4487461, 0.413, 0.42683804, -0.7660967, 0.8733555, -0.33372152]"
dfd,"[-0.78014195, -1.377128, -0.22554654, -0.36655423, 0.6309176, -1.1812773, 0.51527023, -1.3647352, -0.007487515, -1.0418923, 0.61702514, -0.1360253, -0.32618064, -2.2775445, 0.92869043, 0.25970578, 0.9029244, -0.035228092, 0.056385715, -0.95672727, 0.13092077, -0.632983, -1.3756642, 0.26906192, -0.32991263, 0.64870656, 0.5030259, 1.3015282, 0.361342, 1.0859495, 0.23656191, 1.2111394, -0.7245023, -0.59762496, 0.43783394, -0.2712297, -1.5345861, 1.0447361, 1.1007929, 0.7202194, -0.42862457, 0.35404867, 0.48596773, -0.70440215, -0.48192325, 0.27121177, 0.34892514, -0.27804977, -0.72099805, 0.90014255, -0.062528566, 0.54537183, 0.89012885, -0.08482885, 0.37999976, 0.7245635, -0.27883422, -4.612282e-05, -0.5584614, 0.30037552, -0.3955888, -1.2814995, -0.5622389, 0.86859506, 0.8064636, 1.2416391, 1.0180407, 0.29835305, 0.10360556, 0.20626047, 0.6756577, -1.0826682, 0.6235788, -0.87905824, 0.07469513, 0.8436369, -0.052904546, 0.76696855, -2.2908385, -0.012782507, -0.95118403, 0.35425687, -0.5997924, 0.2454628, 0.44719344, -0.2120299, 0.6647622, -1.0921091, -1.4882814, 0.49704933, 1.6169454, -0.31600478, -0.14740077, -0.3977129, 0.017581638, 0.5123821, -0.8690331, 0.43397444, -1.3169756, -0.67174464, -0.36383343, -0.2600908, 1.9589803, -0.5304719, 0.023142532, -0.23225518, -0.023861438, 0.2567738, 0.57054895, -0.53900915, 0.3209815, 0.080540955, -0.012132652, 0.54579026, 0.6749023, -0.23690665, -0.3263811, 1.6355894, 0.038566984, 0.40630156, 0.7502617, 0.04822562, 1.4329987, -0.34850118, 0.014435958, -0.7476976, -0.7297195, 0.012590732]"
sue,"[0.02395865, -0.5509186, -0.17410934, -0.06610451, 0.32078758, -0.75394714, -0.08889598, 0.087103054, 0.8581856, -0.6751112, 0.15816751, -0.249777, 0.7226399, -1.0678719, 0.27548552, 0.6910632, 0.83296835, 0.6376686, 0.26886803, -0.31106415, -0.77382326, 1.106008, -1.2372408, 0.8133166, -0.69910794, 0.481887, 0.63250816, 0.059680287, -0.07028407, -0.76773196, -0.17147301, 0.8425616, -0.30735847, -0.2513017, 0.5754599, 0.038858276, -0.55467767, 0.09696613, 0.21007505, -0.010576379, -0.20292118, -0.51701427, 0.28411245, -0.78246075, -0.021845853, -0.6483185, 0.34843034, -0.6470032, 0.962025, 0.47603285, 0.31474417, -0.21010603, -0.20117867, -0.24101147, 0.20393787, 0.1342214, -0.60357505, -0.71997553, -0.23232958, -0.4996524, -1.0357796, -0.27404076, -0.31308192, 1.0075331, 0.86739135, 0.7529923, 1.1083497, -0.17077442, -0.1155313, 0.41472363, 0.454172, -1.0287417, 0.89322555, -0.4451775, 0.45784673, -0.7019361, -0.9099542, 0.07376361, -1.2796092, -0.7800674, -0.13670138, -0.6407964, -0.56079304, 0.44831476, 0.901273, -0.23034096, -0.015566785, -0.7996449, -1.0261284, 0.17066172, 0.9950942, 0.33691794, -0.72483754, -1.2276578, -0.417303, 0.11851447, -0.19438091, 0.5731308, -0.15999511, -0.21899293, -0.63668585, 0.9768031, 0.879598, -0.7084243, 0.23902479, 0.87937135, -0.057639454, 0.46864647, -0.6702202, -0.6767479, 0.27280104, 0.84776485, -0.09437366, 0.17985988, 0.22704345, 0.05286724, 0.14677048, 0.13106433, -0.27279505, 0.23660405, -0.16702066, -0.9232298, 0.827442, 0.39845315, 0.42592657, -0.92179555, -0.37853244, 0.034003522]"
norman,"[-0.6189964, -1.3694572, -0.47528273, -0.49914578, 1.0180001, -1.1768147, 0.21747689, -0.5271935, 0.23178536, -1.2521476, 0.64313126, -0.38716102, -0.39986062, -2.1820457, 0.52075934, 0.18787584, 0.64443266, -0.103841156, 0.21013601, -0.9760139, 0.11567213, 0.0076824455, -0.83110017, 0.4131996, -0.4028082, 0.4960164, 0.252522, 0.840246, 0.3024083, 0.854889, -0.13717188, 1.0233091, -0.4974914, -0.6642357, 0.6243568, -0.17653212, -1.140064, 0.84223616, 0.81999165, 0.27169466, -0.43874833, 0.38678956, 0.7082498, -0.92852336, -0.6257886, 0.43264785, 0.4566136, -0.27277967, -0.8865418, 1.2687709, 0.14955243, 0.61690706, 1.2535863, -0.48231184, -0.06215873, 0.47264633, -0.5015142, -0.14682867, -0.4168738, 0.14529938, -0.24402401, -1.1141249, -0.69413894, 1.3483526, 0.94013005, 0.76716906, 1.0690365, 0.31870782, 0.21760121, -0.11204275, 0.8111615, -1.3155109, 0.057895813, -0.7824356, 0.16471826, 0.7181796, 0.19224966, 1.1706963, -2.0646586, -0.6669831, -0.86421037, 0.4219015, -0.7954911, 0.14842601, 0.59569055, -0.61734146, 0.8299835, -1.180779, -1.7071371, 0.23897938, 1.4546982, 0.093532614, -0.3319199, -0.18299407, -0.08999042, 0.42982063, -0.80709034, 0.19778717, -1.4373817, -0.58182627, -0.3796631, -0.38920197, 2.1526537, -0.724328, -0.43051493, -0.03214504, 0.11301869, 0.019270752, 0.20372778, -0.6002405, 0.30525205, 0.14202219, 0.2678311, 0.9057479, 0.7600561, -0.20979121, -0.15001221, 1.35677, -0.17115599, 0.80780095, 0.23922658, -0.29587114, 1.1245722, 0.23383987, 0.28135297, -1.0677798, -0.70320594, 0.0070950612]"
sddfdfdf,"[0.24342413, -0.63234794, 0.16682088, -0.4754867, -0.94340825, -0.019204838, -0.011427049, -0.75679976, -0.083017096, -0.5262544, 0.17098323, -0.35081783, 0.77256095, -0.30646378, 0.060979772, 0.11486174, 1.154184, -0.85383016, 0.4084347, 0.05117418, -0.57327056, -0.16975625, 0.07664328, 0.27083284, 0.7769747, 0.67172617, 0.79735446, 0.5343765, -0.14617813, -0.6726193, -0.14667888, -0.20569561, 0.22473794, 0.021345347, 0.26806033, 0.062006306, 0.5021408, 0.008298181, 0.37553668, 0.059578963, -0.06258018, -0.12116532, -0.17183298, -0.2767715, -0.18051217, -0.21585919, 0.1394408, -0.1309072, 0.19858114, 0.04432088, -0.1335726, -0.27642772, -0.065939896, -0.86462057, 0.18688199, 1.0122347, 0.63224477, 0.1579817, 0.2280978, -0.18180662, 0.11957752, 0.1133091, 0.084022954, 0.8747137, -0.37588593, 0.6636442, 0.10070602, -0.20544279, 0.51875335, -0.0427847, 0.09740731, -0.3033498, 0.423349, -0.7042079, -0.19989605, 0.3362007, -0.41717422, -0.6931995, 0.35044295, -0.90962887, -0.2666575, -0.039655164, 0.06393416, 0.6765955, 1.6222074, -0.9878782, 0.8334913, -0.24910434, -0.4955273, 0.5945619, -0.1534982, -0.616222, 0.23837662, -0.12256283, 0.020100366, 0.26791286, 0.359302, 0.7728436, -0.8184774, -0.18550839, 1.0129738, 0.24253923, 0.9443336, 0.15357101, -0.06722696, 0.6238169, -0.15624553, 0.14040658, -0.5630537, -1.2009457, 0.3847776, 0.53630537, 0.6763555, -0.084384486, 0.052969858, 0.00904312, -0.04422617, 0.8441772, 0.775171, 0.31247285, 1.2946178, -0.13148375, 0.11821105, 0.48134083, 0.46838927, -0.63945144, 0.46654987, 0.09350398]"
dfdf,"[-0.58513033, -2.660797, 0.9211502, -0.26193514, 1.5240631, -1.2725047, -0.40127897, -0.9666363, 0.4291315, -1.5635594, 0.14222804, -0.6131565, -1.3709346, -1.3838348, 0.035820678, -0.7701749, -0.023317635, 0.91554636, -0.18931207, -2.0037615, 0.68508255, -1.0071142, -0.4140486, -0.08737589, 0.09237534, 0.44637293, -0.6743791, 1.6030781, 0.9159236, 0.71316534, 0.15830924, 1.6660912, -1.339839, -0.41396797, 1.5330973, 0.055499267, -2.387872, 1.8452178, 0.99021935, 0.7871988, -0.16068257, 0.55369043, 1.1814, -1.5060815, -0.47998184, 0.4674241, -0.11343108, 0.21959338, -0.9480094, 0.503363, 0.052768692, 0.41910622, 1.4664553, -0.22679791, 0.8068986, 0.89574456, -0.5226279, -0.1438035, -0.8490549, 0.1914084, 0.022829413, -1.1313355, -0.90832895, 1.0294914, -0.34725028, 1.8745782, 0.901028, 1.2437198, 0.6631426, 1.1645032, 0.8209723, -1.093799, -0.263397, -0.7597672, -0.3560716, 0.31985906, 0.060281694, 0.963907, -2.8859165, -0.110939264, -0.032455266, -0.9047793, -0.036042586, 0.3885656, -0.28354195, -0.68884826, 1.4619983, -1.6978723, -1.3135053, -0.39739445, 1.841772, -0.12072181, -1.1100931, -0.2442753, 0.23474753, 0.6939529, -1.1653714, -0.13053632, -0.6223331, -0.5052192, -1.2345657, 0.26898685, 1.2551508, -1.1105384, 0.6830763, 0.0909217, 0.4052391, -1.1330371, 0.1971723, -0.6735199, 0.8432707, -0.027576521, -0.8012793, 0.23703052, 0.84378654, 0.5723921, -0.047366202, 1.9296564, -1.0459865, -0.6136605, -0.21371771, 0.3121404, 2.212319, -0.25055426, 0.5755115, -0.891413, -1.0565786, 0.29733348]"
